Condition|Variant
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm Follow-up (Without Repair)|Asymptomatic abdominal aortic aneurysm surveillance (without repair).
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Follow-up for post-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abdominal Aortic Aneurysm or Dissection-Interventional Planning and Follow-up|Planning for pre-endovascular repair (EVAR) or open repair of AAA.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with moderate or severe aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with moderate or severe aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver functions tests. Hyperbilirubinemia. Acute or subacute cholestasis. Conjugated or unconjugated. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver functions tests. Hyperbilirubinemia. Acute or subacute cholestasis. Conjugated or unconjugated. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Cholestatic predominance. Elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with mild aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with moderate or severe aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with moderate or severe aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Cholestatic predominance. Elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Cholestatic predominance. Elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver functions tests. Hyperbilirubinemia. Acute or subacute cholestasis. Conjugated or unconjugated. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Cholestatic predominance. Elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with mild aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with mild aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Hepatocellular predominance with moderate or severe aminotransferase increase. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver functions tests. Hyperbilirubinemia. Acute or subacute cholestasis. Conjugated or unconjugated. Initial imaging.
Abnormal Liver Function Tests|Abnormal liver function tests. Cholestatic predominance. Elevated alkaline phosphatase with or without elevated gamma-glutamyl transpeptidase. Initial imaging.
